"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.126798430E1,2.403250160E1,8.908933223E1,NaN,NaN,2.779299927E1,5.768345356E0
2.486882083E0,6.126808370E1,2.403268315E1,1.365176487E2,3.329999924E0,1.201999969E2,1.684234047E1,1.494026375E1
3.487549061E0,6.126812748E1,2.403247760E1,1.293149399E2,9.200000167E-1,2.000000000E0,1.453322029E1,1.925026894E1
4.491803697E0,6.126804070E1,2.403245422E1,9.409721467E1,0.000000000E0,NaN,1.065633011E1,1.442610455E1
5.543387082E0,6.126807851E1,2.403239189E1,9.713633392E1,1.500000000E0,3.395000000E2,9.409460068E0,1.268141365E1
6.543595623E0,6.126810242E1,2.403237528E1,9.965355460E1,1.210000038E0,3.467999878E2,8.381299019E0,1.117115688E1
7.543114529E0,6.126812551E1,2.403235960E1,1.023640735E2,1.389999986E0,3.416000061E2,7.095980644E0,9.341301918E0
8.543487706E0,6.126814056E1,2.403234223E1,1.023523568E2,1.389999986E0,3.393999939E2,6.577577114E0,8.685905457E0
9.543285310E0,6.126815127E1,2.403233228E1,1.031251866E2,1.110000014E0,3.452000122E2,6.228020191E0,8.149057388E0
1.054273823E1,6.126816265E1,2.403231807E1,1.045383956E2,1.259999990E0,3.287000122E2,5.810474396E0,7.623864174E0
1.154353515E1,6.126817508E1,2.403230059E1,1.052471359E2,1.269999981E0,3.338999939E2,5.605354309E0,7.387143135E0
1.254356104E1,6.126818752E1,2.403228349E1,1.055672046E2,1.370000005E0,3.300000000E2,5.371167660E0,7.073750973E0
1.354301536E1,6.126820006E1,2.403226757E1,1.061516172E2,1.299999952E0,3.302000122E2,5.057569504E0,6.667864323E0
1.454331250E1,6.126821367E1,2.403225214E1,1.069837115E2,1.360000014E0,3.337999878E2,4.790213585E0,6.296677113E0
1.554359276E1,6.126822824E1,2.403223817E1,1.073021963E2,1.350000024E0,3.372000122E2,4.633730412E0,5.967303753E0
1.654298239E1,6.126824304E1,2.403222641E1,1.080388954E2,1.399999976E0,3.437999878E2,4.544660568E0,5.747594357E0
1.754328406E1,6.126825805E1,2.403221752E1,1.086347268E2,1.330000043E0,3.461000061E2,4.587662697E0,5.809915543E0
1.854292098E1,6.126827205E1,2.403220981E1,1.088052652E2,1.330000043E0,3.473999939E2,4.615388870E0,5.854705334E0
1.954356692E1,6.126828587E1,2.403220208E1,1.085477029E2,1.450000048E0,3.456000061E2,4.423941612E0,5.446043968E0
2.054306525E1,6.126829922E1,2.403219495E1,1.078942664E2,1.389999986E0,3.443999939E2,4.298791885E0,5.172609329E0
2.154263208E1,6.126831164E1,2.403219032E1,1.076540997E2,1.360000014E0,3.460000000E2,4.302409172E0,5.159366608E0
2.254307364E1,6.126832416E1,2.403218649E1,1.075882498E2,1.409999967E0,3.491000061E2,4.302662849E0,5.159663677E0
2.354353499E1,6.126833665E1,2.403218332E1,1.075084842E2,1.360000014E0,3.521000061E2,4.171304226E0,4.896601677E0
2.454304145E1,6.126834819E1,2.403217939E1,1.071783513E2,1.389999986E0,3.466000061E2,4.158147335E0,4.843557835E0
2.554335244E1,6.126835975E1,2.403217589E1,1.071075570E2,1.309999943E0,3.500000000E2,4.102462769E0,4.734425545E0
2.654278254E1,6.126837131E1,2.403217434E1,1.067736412E2,1.330000043E0,3.482000122E2,4.023138523E0,4.568799496E0
2.754356962E1,6.126838431E1,2.403217137E1,1.065255411E2,1.429999948E0,3.483999939E2,4.008274078E0,4.518052578E0
2.854348525E1,6.126839854E1,2.403216704E1,1.067617552E2,1.440000057E0,3.456000061E2,3.926464319E0,4.330363750E0
2.954262379E1,6.126841338E1,2.403216003E1,1.069096505E2,1.539999962E0,3.433999939E2,3.928020954E0,4.311566830E0
3.054279202E1,6.126842699E1,2.403215326E1,1.066422007E2,1.370000005E0,3.472999878E2,3.807587385E0,4.052235603E0
3.154293759E1,6.126843933E1,2.403214746E1,1.062884469E2,1.340000033E0,3.462999878E2,3.790092468E0,3.884639502E0
3.254361087E1,6.126845163E1,2.403214362E1,1.060266740E2,1.389999986E0,3.507000122E2,3.790092468E0,3.884982586E0
3.354261837E1,6.126846417E1,2.403213843E1,1.059847492E2,1.340000033E0,3.452000122E2,3.790092468E0,3.780511379E0
3.454351634E1,6.126847583E1,2.403213376E1,1.055242450E2,1.330000043E0,3.477000122E2,3.790092468E0,3.595447063E0
3.554274254E1,6.126848793E1,2.403213018E1,1.051462611E2,1.409999967E0,3.481000061E2,3.790092468E0,3.559778452E0
3.654323337E1,6.126850060E1,2.403212815E1,1.051192916E2,1.409999967E0,3.517000122E2,3.790092468E0,3.403797150E0
3.754262462E1,6.126851147E1,2.403212447E1,1.044667707E2,1.379999995E0,3.472000122E2,3.790092468E0,3.392611265E0
3.854315181E1,6.126852284E1,2.403211872E1,1.045364781E2,1.399999976E0,3.442999878E2,3.790092468E0,3.335774183E0
3.954277910E1,6.126853416E1,2.403211343E1,1.043389127E2,1.360000014E0,3.473999939E2,3.790092468E0,3.305211782E0
4.054358915E1,6.126854508E1,2.403210973E1,1.046548977E2,1.309999943E0,3.482999878E2,3.790092468E0,3.304062843E0
4.154294988E1,6.126855642E1,2.403210576E1,1.044126553E2,1.379999995E0,3.477999878E2,3.790092468E0,3.301259995E0
4.254340228E1,6.126856865E1,2.403210155E1,1.042276033E2,1.450000048E0,3.533999939E2,3.790092468E0,3.258258343E0
4.354331342E1,6.126858027E1,2.403209748E1,1.039074192E2,1.379999995E0,3.502999878E2,3.790092468E0,3.126114368E0
4.454301707E1,6.126859203E1,2.403209313E1,1.036937414E2,1.370000005E0,3.531000061E2,3.790092468E0,2.974805355E0
4.554366967E1,6.126860436E1,2.403208563E1,1.033662318E2,1.389999986E0,3.476000061E2,3.790092468E0,2.745670319E0
4.654274227E1,6.126861750E1,2.403207746E1,1.038846087E2,1.350000024E0,3.467999878E2,3.790092468E0,2.676870823E0
4.754320873E1,6.126863079E1,2.403206863E1,1.039252021E2,1.399999976E0,3.435000000E2,3.790092468E0,2.511756897E0
4.854273066E1,6.126864350E1,2.403206032E1,1.040453242E2,1.370000005E0,3.495000000E2,3.790092468E0,2.523851156E0
4.954302644E1,6.126865613E1,2.403205205E1,1.039184981E2,1.350000024E0,3.468999939E2,3.790092468E0,2.557886362E0
5.054327816E1,6.126866869E1,2.403204297E1,1.039664761E2,1.350000024E0,3.421000061E2,3.790092468E0,2.500000000E0
5.154304352E1,6.126868132E1,2.403203417E1,1.041983533E2,1.399999976E0,3.462999878E2,3.790092468E0,2.500000000E0
5.254314019E1,6.126869405E1,2.403202668E1,1.043400823E2,1.360000014E0,3.477000122E2,3.790092468E0,2.500000000E0
5.354292524E1,6.126870686E1,2.403202033E1,1.041027226E2,1.389999986E0,3.470000000E2,3.790092468E0,2.500000000E0
5.454334342E1,6.126871988E1,2.403201517E1,1.041888499E2,1.330000043E0,3.508999939E2,3.790092468E0,2.500000000E0
5.554262311E1,6.126873349E1,2.403200985E1,1.045725240E2,1.360000014E0,3.461000061E2,3.790092468E0,2.500000000E0
5.654356863E1,6.126874713E1,2.403200141E1,1.051589553E2,1.379999995E0,3.370000000E2,3.790092468E0,2.500000000E0
5.754261951E1,6.126875790E1,2.403198169E1,1.053600029E2,1.529999971E0,3.047000122E2,3.790092468E0,2.500000000E0
5.854294685E1,6.126875990E1,2.403195277E1,1.061710860E2,1.519999981E0,2.608999939E2,3.790092468E0,2.500000000E0
5.954360576E1,6.126875629E1,2.403192411E1,1.062062863E2,1.330000043E0,2.550000000E2,3.790092468E0,2.500000000E0
6.054348680E1,6.126875329E1,2.403189645E1,1.063646565E2,1.370000005E0,2.575000000E2,3.790092468E0,2.500000000E0
6.154296737E1,6.126874892E1,2.403187124E1,1.058647628E2,1.360000014E0,2.551999969E2,3.790092468E0,2.500000000E0
6.254318243E1,6.126874500E1,2.403184367E1,1.055979004E2,1.429999948E0,2.622999878E2,3.790092468E0,2.500000000E0
6.354317144E1,6.126874104E1,2.403181545E1,1.055883009E2,1.429999948E0,2.582999878E2,3.790092468E0,2.500000000E0
6.454359310E1,6.126873645E1,2.403178753E1,1.053641625E2,1.460000038E0,2.555000000E2,3.790092468E0,2.500000000E0
6.554316289E1,6.126873120E1,2.403176091E1,1.051159764E2,1.399999976E0,2.513000031E2,3.790092468E0,2.500000000E0
6.654289232E1,6.126872497E1,2.403173442E1,1.050535197E2,1.399999976E0,2.463999939E2,3.790092468E0,2.500000000E0
6.754313404E1,6.126871952E1,2.403170889E1,1.050770015E2,1.360000014E0,2.535000000E2,3.790092468E0,2.500000000E0
6.854314513E1,6.126871476E1,2.403168410E1,1.049148763E2,1.370000005E0,2.536000061E2,3.790092468E0,2.500000000E0
6.954291831E1,6.126871133E1,2.403165889E1,1.048140311E2,1.370000005E0,2.573999939E2,3.790092468E0,2.500000000E0
7.054320716E1,6.126870841E1,2.403163424E1,1.048179228E2,1.340000033E0,2.562000122E2,3.790092468E0,2.500000000E0
7.154360711E1,6.126870426E1,2.403161112E1,1.048271246E2,1.340000033E0,2.496000061E2,3.790092468E0,2.500000000E0
7.254335976E1,6.126869920E1,2.403158896E1,1.045786357E2,1.350000024E0,2.490000000E2,3.790092468E0,2.500000000E0
7.354359862E1,6.126869543E1,2.403156567E1,1.044860920E2,1.360000014E0,2.551999969E2,3.790092468E0,2.500000000E0
7.454355768E1,6.126869183E1,2.403154122E1,1.043637016E2,1.389999986E0,2.538000031E2,3.790092468E0,2.500000000E0
7.554261357E1,6.126868824E1,2.403151695E1,1.041609281E2,1.299999952E0,2.541000061E2,3.790092468E0,2.500000000E0
7.654305929E1,6.126868405E1,2.403149390E1,1.045330448E2,1.330000043E0,2.496999969E2,3.790092468E0,2.500000000E0
7.754259523E1,6.126868037E1,2.403146911E1,1.045340063E2,1.320000052E0,2.567000122E2,3.790092468E0,2.500000000E0
